STUSPS,FIRE_COUNT,BURNED_AREA,FIRE_SIZE_MEAN,WF_FSR_MEAN,WF_DURATION_MEAN,STR_THREAT_TOTAL,EVAC_TOTAL,STR_DAMAGE_TOTAL,STR_DESTR_TOTAL,STR_DESTR_RES,FATALITIES_P,FATALITIES_R,NUM_SITREPS_TOTAL,PROJ_IM_COSTS,TOTAL_PERSONNEL,TOTAL_AERIAL,SUP_FS_PERC_MEAN
NH,6,2033,338.8333333333333,239,2.3333333333333335,23,60,0,0,0,0,0,20,285000,273.5,6,50
NJ,68,71454.4,1050.8,630.263948145384,5.294117647058824,1084,150,13,41,5,0,0,161,842080,5450,120,70.58823529411765
NM,1025,5127864.999999999,5002.795121951219,2529.621988007546,6.359960552268242,29744,2438,332,1192,701,0,1,5837,759089252.87,572109.8552197806,5346.666666666667,48.77545250846811
NV,1041,9602228.130000003,9224.042391930847,5097.120141271181,1.9516441005802734,38413,4672,294,618,179,2,3,5300,560948999,608037.8797545373,8055.666666666666,46.24159462055696
NY,33,15795.6,478.6545454545454,285.25122053872053,3.666666666666667,627,0,30,80,19,0,0,118,2245456,4341.833333333334,75,62.121212121212125
OH,87,9770.17,112.30080459770109,64.70242566219613,15.783132530120472,513,2,27,47,6,4,0,138,232141.51,1448.1666666666667,6,64.94252873563221
OK,3416,5027441.579999998,1471.73348360657,873.7450802281821,0.5375366568915111,54751,3012,4111,5493,1344,7,3,7658,52851972.72,94780.48333333337,906,67.35488457678261
OR,1076,9613002.750000002,8934.017425650547,3731.1319348247234,6.8388003748828625,359785,109381,4090,4466,2488,11,4,10399,3944009825.92,2698862.7659176304,25737,53.56809176880306
PA,333,41757.350000000006,125.3974474474476,68.36881944964607,2.2120253164556907,1226,130,161,195,30,8,0,441,3663714.73,8980.633333333333,68,84.98498498498489
SC,616,89840.69999999998,145.84529220779217,90.78977127794509,1.2368421052631589,8719,325,298,828,325,1,0,961,10471097.5,25476.919444444447,346,67.37734487734505
SD,216,724933.4799999999,3356.173518518518,2358.6662422839504,1.509259259259259,10005,611,38,276,80,0,0,884,92365400.34,97916.70238095234,864.5,58.809156378600854
TN,458,215478.6,470.4772925764193,198.74152391495014,5.659292035398229,4985,35015,2161,2280,2148,14,0,1012,24046590.45,29167.526190476186,314,60.787916595776984
TX,2142,7816554.8100000005,3649.1852521008595,2322.1677986114887,0.45067788686299093,59546.5,6391,905,5136,3469,4,1,8337,139278275,217298.68560606072,4240,68.37853027389839
UT,1142,4059018.850000002,3554.307224168128,1953.0611572114615,6.549645390070917,44527,22687,685,1259,247,0,0,7188,807866084.63,593262.7373737374,9670.716666666667,36.13773584569604
VA,305,224511.25,736.1024590163929,329.77145879514256,3.5399999999999987,5703,0,55,88,41,3,0,1247,63069380.78,82989.81140526143,1019,69.73124645439067
VT,2,302,151,116.75,1.5,1,0,0,0,0,0,0,5,1000,264,15,50
WA,840,5995078.330000001,7136.998011904757,3314.3400575129194,10.751824817518255,98465,19202,2028,2956,1377,2,3,7335,1974016630.49,1413888.726629536,15209.166666666666,52.36306189954206
WI,149,22896.229999999996,153.66597315436243,116.8383348807988,8.06293706293706,1171,3,58,265,74,10,0,218,2279731.9699999997,3629,13,84.67561521252799
WV,720,112251.49999999997,155.90486111111167,48.48708149017457,19.74229691876745,2111,0,37,72,5,0,0,902,4965750.219999999,5638.333333333333,42,55.48611111111094
WY,634,2515921.845000002,3968.3309858044163,1772.6575993148676,9.227786752827155,20992,4842,285,592,216,0,0,4849,620025756.0799999,441214.29149453045,7603.333333333333,33.91055041227758
