,CPLX_INCIDENT_ID,NUM_FOD_RECORDS,FIRE_YEAR,INCIDENT_NUMBER,COMPLEX_NAME,ICS_COMPLEX_NAME_LINK,FIRE_NAME_LINK,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,MEMBER_INCIDENT_ID,INCIDENT_ID
72,2014_580435_MGC COMPLEX,,2014,,,MGC COMPLEX,MIDDLE RIDGE,570238.0,580435.0,2014_570238_MIDDLE RIDGE,2014_570238_MIDDLE RIDGE
76,2014_571039_MODOC JULY COMPLEX,,2014,,,MODOC JULY COMPLEX,MODOC JULY COMPLEX,571039.0,571039.0,2014_571039_MODOC JULY COMPLEX,2014_571039_MODOC JULY COMPLEX
77,2014_571039_MODOC JULY COMPLEX,,2014,,,MODOC JULY COMPLEX,DALTON,573518.0,571039.0,2014_573518_DALTON,2014_573518_DALTON
78,2014_571039_MODOC JULY COMPLEX,,2014,,,MODOC JULY COMPLEX,DOBIE,574123.0,571039.0,2014_574123_DOBIE,2014_574123_DOBIE
73,2014_580435_MGC COMPLEX,,2014,,,MGC COMPLEX,GREEK PEAK,575083.0,580435.0,2014_575083_GREEK PEAK,2014_575083_GREEK PEAK
74,2014_580435_MGC COMPLEX,,2014,,,MGC COMPLEX,COTTONWOOD,575968.0,580435.0,2014_575968_COTTONWOOD,2014_575968_COTTONWOOD
79,2014_571039_MODOC JULY COMPLEX,,2014,,,MODOC JULY COMPLEX,GULCH,580027.0,571039.0,2014_580027_GULCH,2014_580027_GULCH
75,2014_580435_MGC COMPLEX,,2014,,,MGC COMPLEX,MGC COMPLEX,580435.0,580435.0,2014_580435_MGC COMPLEX,2014_580435_MGC COMPLEX
69,2014_733009_MCRAE COMPLEX,,2014,,,MCRAE COMPLEX,MCRAE,580598.0,733009.0,2014_580598_MCRAE,2014_580598_MCRAE
122,2014_683068_SITGREAVES COMPLEX,,2014,,,SITGREAVES COMPLEX,DUCK,600337.0,683068.0,2014_600337_DUCK,2014_600337_DUCK
63,2014_647372_LOGGING UNIT FIRES,,2014,,,LOGGING UNIT FIRES,SKYLINE ROAD,631147.0,647372.0,2014_631147_SKYLINE ROAD,2014_631147_SKYLINE ROAD
11,2014_634805_BUZZARD COMPLEX,,2014,,,BUZZARD COMPLEX,BEAVER CREEK,634216.0,634805.0,2014_634216_BEAVER CREEK,2014_634216_BEAVER CREEK
12,2014_634805_BUZZARD COMPLEX,,2014,,,BUZZARD COMPLEX,BARTLETT,634217.0,634805.0,2014_634217_BARTLETT,2014_634217_BARTLETT
13,2014_634805_BUZZARD COMPLEX,,2014,,,BUZZARD COMPLEX,SADDLE DRAW,634363.0,634805.0,2014_634363_SADDLE DRAW,2014_634363_SADDLE DRAW
14,2014_634805_BUZZARD COMPLEX,,2014,,,BUZZARD COMPLEX,TWIN RESERVIOR,634652.0,634805.0,2014_634652_TWIN RESERVIOR,2014_634652_TWIN RESERVIOR
15,2014_634805_BUZZARD COMPLEX,,2014,,,BUZZARD COMPLEX,BUZZARD COMPLEX,634805.0,634805.0,2014_634805_BUZZARD COMPLEX,2014_634805_BUZZARD COMPLEX
150,2014_635765_WATERMAN COMPLEX,,2014,,,WATERMAN COMPLEX,WATERMAN COMPLEX,635765.0,635765.0,2014_635765_WATERMAN COMPLEX,2014_635765_WATERMAN COMPLEX
151,2014_635765_WATERMAN COMPLEX,,2014,,,WATERMAN COMPLEX,JUNCTION SPRINGS INC 150,636902.0,635765.0,2014_636902_JUNCTION SPRINGS INC 150,2014_636902_JUNCTION SPRINGS INC 150
152,2014_635765_WATERMAN COMPLEX,,2014,,,WATERMAN COMPLEX,BAILEY BUTTE,637012.0,635765.0,2014_637012_BAILEY BUTTE,2014_637012_BAILEY BUTTE
153,2014_635765_WATERMAN COMPLEX,,2014,,,WATERMAN COMPLEX,INC #160,637013.0,635765.0,2014_637013_INC #160,2014_637013_INC #160
154,2014_639392_WHISKEY COMPLEX,,2014,,,WHISKEY COMPLEX,WASH,637393.0,639392.0,2014_637393_WASH,2014_637393_WASH
155,2014_639392_WHISKEY COMPLEX,,2014,,,WHISKEY COMPLEX,CALDER,637398.0,639392.0,2014_637398_CALDER,2014_637398_CALDER
156,2014_639392_WHISKEY COMPLEX,,2014,,,WHISKEY COMPLEX,GRIMES,637400.0,639392.0,2014_637400_GRIMES,2014_637400_GRIMES
17,2014_638842_CARLTON COMPLEX,,2014,,,CARLTON COMPLEX,CARLTON COMPLEX,638842.0,638842.0,2014_638842_CARLTON COMPLEX,2014_638842_CARLTON COMPLEX
10,2014_639070_BRIDGE 99 COMPLEX,,2014,,,BRIDGE 99 COMPLEX,BRIDGE 99 COMPLEX,639070.0,639070.0,2014_639070_BRIDGE 99 COMPLEX,2014_639070_BRIDGE 99 COMPLEX
157,2014_639392_WHISKEY COMPLEX,,2014,,,WHISKEY COMPLEX,WHISKEY COMPLEX,639392.0,639392.0,2014_639392_WHISKEY COMPLEX,2014_639392_WHISKEY COMPLEX
158,2014_639392_WHISKEY COMPLEX,,2014,,,WHISKEY COMPLEX,DODGE,639422.0,639392.0,2014_639422_DODGE,2014_639422_DODGE
64,2014_647372_LOGGING UNIT FIRES,,2014,,,LOGGING UNIT FIRES,0318,640190.0,647372.0,2014_640190_0318,2014_640190_0318
80,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX,,2014,,,MOUNT BAKER RANGER DISTRICT COMPLEX,SEFRIT,640731.0,665864.0,2014_640731_SEFRIT,2014_640731_SEFRIT
81,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX,,2014,,,MOUNT BAKER RANGER DISTRICT COMPLEX,SEFRIT WEST,640772.0,665864.0,2014_640772_SEFRIT WEST,2014_640772_SEFRIT WEST
22,2014_645401_CHIWAUKUM COMPLEX,,2014,,,CHIWAUKUM COMPLEX,CHIWAUKUM CREEK,644925.0,645401.0,2014_644925_CHIWAUKUM CREEK,2014_644925_CHIWAUKUM CREEK
23,2014_645401_CHIWAUKUM COMPLEX,,2014,,,CHIWAUKUM COMPLEX,CHIWAUKUM COMPLEX,645401.0,645401.0,2014_645401_CHIWAUKUM COMPLEX,2014_645401_CHIWAUKUM COMPLEX
65,2014_647372_LOGGING UNIT FIRES,,2014,,,LOGGING UNIT FIRES,CAMAS PRAIRIE,646117.0,647372.0,2014_646117_CAMAS PRAIRIE,2014_646117_CAMAS PRAIRIE
