,CPLX_INCIDENT_ID,NUM_FOD_RECORDS,FIRE_YEAR,INCIDENT_NUMBER,COMPLEX_NAME,ICS_COMPLEX_NAME_LINK,FIRE_NAME_LINK,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,MEMBER_INCIDENT_ID,INCIDENT_ID
449,2015_2888586_NORTHEAST KOOTENAI COMPLEX,,2015,,,NORTHEAST KOOTENAI COMPLEX,BARNABY,2880137.0,2888586.0,2015_2880137_BARNABY,2015_2880137_BARNABY
192,2015_2906716_CHELAN COMPLEX,,2015,,,CHELAN COMPLEX,CAGLE,2880281.0,2906716.0,2015_2880281_CAGLE,2015_2880281_CAGLE
407,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,BIG STEW,2880282.0,2875162.0,2015_2880282_BIG STEW,2015_2880282_BIG STEW
408,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,GRIT,2880283.0,2875162.0,2015_2880283_GRIT,2015_2880283_GRIT
218,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,TRACTOR,2881341.0,2920368.0,2015_2881341_TRACTOR,2015_2881341_TRACTOR
219,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,BIG HILL,2881364.0,2920368.0,2015_2881364_BIG HILL,2015_2881364_BIG HILL
409,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,FRENCHMAN BUTTE,2881504.0,2875162.0,2015_2881504_FRENCHMAN BUTTE,2015_2881504_FRENCHMAN BUTTE
410,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,FOURBIT CREEK,2881520.0,2875162.0,2015_2881520_FOURBIT CREEK,2015_2881520_FOURBIT CREEK
183,2015_2900047_BROWN RANCH,,2015,,,BROWN RANCH,HSD (PART OF THE BROWN RANCH COMPLEX),2881569.0,2900047.0,2015_2881569_HSD (PART OF THE BROWN RANCH COMPLEX),2015_2881569_HSD (PART OF THE BROWN RANCH COMPLEX)
370,2015_2900594_LOCHSA SOUTH COMPLEX,,2015,,,LOCHSA SOUTH COMPLEX,AIRSTRIP,2881590.0,2900594.0,2015_2881590_AIRSTRIP,2015_2881590_AIRSTRIP
371,2015_2900594_LOCHSA SOUTH COMPLEX,,2015,,,LOCHSA SOUTH COMPLEX,FIRE LAKE,2881591.0,2900594.0,2015_2881591_FIRE LAKE,2015_2881591_FIRE LAKE
372,2015_2900594_LOCHSA SOUTH COMPLEX,,2015,,,LOCHSA SOUTH COMPLEX,LONE LAKE,2881592.0,2900594.0,2015_2881592_LONE LAKE,2015_2881592_LONE LAKE
457,2015_2931055_OKANOGAN COMPLEX,,2015,,,OKANOGAN COMPLEX,BEAVER LAKE,2881651.0,2931055.0,2015_2881651_BEAVER LAKE,2015_2881651_BEAVER LAKE
411,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,SLIDE,2881681.0,2875162.0,2015_2881681_SLIDE,2015_2881681_SLIDE
202,2015_2890578_CLARK FORK COMPLEX,,2015,,,CLARK FORK COMPLEX,SAWTOOTH,2881798.0,2890578.0,2015_2881798_SAWTOOTH,2015_2881798_SAWTOOTH
412,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,AUSTIN RIDGE,2881981.0,2875162.0,2015_2881981_AUSTIN RIDGE,2015_2881981_AUSTIN RIDGE
220,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,FISHER,2882752.0,2920368.0,2015_2882752_FISHER,2015_2882752_FISHER
347,2015_2934748_KETTLE COMPLEX,,2015,,,KETTLE COMPLEX,STICKPIN,2882763.0,2934748.0,2015_2882763_STICKPIN,2015_2882763_STICKPIN
313,2015_2891473_GRIZZLY COMPLEX,,2015,,,GRIZZLY COMPLEX,LOWER STONEY,2883118.0,2891473.0,2015_2883118_LOWER STONEY,2015_2883118_LOWER STONEY
358,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,TWIN,2883119.0,2873774.0,2015_2883119_TWIN,2015_2883119_TWIN
314,2015_2891473_GRIZZLY COMPLEX,,2015,,,GRIZZLY COMPLEX,WHITE ROCK CREEK,2883363.0,2891473.0,2015_2883363_WHITE ROCK CREEK,2015_2883363_WHITE ROCK CREEK
574,2015_2883365_UPPER SKAGIT COMPLEX,,2015,,,UPPER SKAGIT COMPLEX,UPPER SKAGIT COMPLEX,2883365.0,2883365.0,2015_2883365_UPPER SKAGIT COMPLEX,2015_2883365_UPPER SKAGIT COMPLEX
315,2015_2891473_GRIZZLY COMPLEX,,2015,,,GRIZZLY COMPLEX,POND PEAK,2883909.0,2891473.0,2015_2883909_POND PEAK,2015_2883909_POND PEAK
382,2015_2884247_MIDDLE FORK COMPLEX,,2015,,,MIDDLE FORK COMPLEX,MIDDLE FORK COMPLEX,2884247.0,2884247.0,2015_2884247_MIDDLE FORK COMPLEX,2015_2884247_MIDDLE FORK COMPLEX
458,2015_2931055_OKANOGAN COMPLEX,,2015,,,OKANOGAN COMPLEX,9 MILE,2884366.0,2931055.0,2015_2884366_9 MILE,2015_2884366_9 MILE
177,2015_2903244_BATH COMPLEX,,2015,,,BATH COMPLEX,MINERS,2884427.0,2903244.0,2015_2884427_MINERS,2015_2884427_MINERS
538,2015_2906572_SNOW PEAK COMPLEX,,2015,,,SNOW PEAK COMPLEX,TRAIL 55,2884428.0,2906572.0,2015_2884428_TRAIL 55,2015_2884428_TRAIL 55
400,2015_2884431_MORRELL COMPLEX,,2015,,,MORRELL COMPLEX,MORRELL COMPLEX,2884431.0,2884431.0,2015_2884431_MORRELL COMPLEX,2015_2884431_MORRELL COMPLEX
413,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,FRENCHMAN,2885146.0,2875162.0,2015_2885146_FRENCHMAN,2015_2885146_FRENCHMAN
414,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,LONE KNOB,2885227.0,2875162.0,2015_2885227_LONE KNOB,2015_2885227_LONE KNOB
575,2015_2883365_UPPER SKAGIT COMPLEX,,2015,,,UPPER SKAGIT COMPLEX,CAT ISLAND,2885231.0,2883365.0,2015_2885231_CAT ISLAND,2015_2885231_CAT ISLAND
193,2015_2906716_CHELAN COMPLEX,,2015,,,CHELAN COMPLEX,MCFARLAND CREEK,2885237.0,2906716.0,2015_2885237_MCFARLAND CREEK,2015_2885237_MCFARLAND CREEK
512,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,S.O.B. 2,2885388.0,2892247.0,2015_2885388_S.O.B. 2,2015_2885388_S.O.B. 2
203,2015_2890578_CLARK FORK COMPLEX,,2015,,,CLARK FORK COMPLEX,NAPOLEON 1,2885520.0,2890578.0,2015_2885520_NAPOLEON 1,2015_2885520_NAPOLEON 1
204,2015_2890578_CLARK FORK COMPLEX,,2015,,,CLARK FORK COMPLEX,SCOTCHMAN PEAK,2885842.0,2890578.0,2015_2885842_SCOTCHMAN PEAK,2015_2885842_SCOTCHMAN PEAK
221,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,LOST HAT,2885928.0,2920368.0,2015_2885928_LOST HAT,2015_2885928_LOST HAT
298,2015_2878511_GRIZZLY BEAR COMPLEX,,2015,,,GRIZZLY BEAR COMPLEX,931,2885955.0,2878511.0,2015_2885955_931,2015_2885955_931
359,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,AVALANCHE,2885984.0,2873774.0,2015_2885984_AVALANCHE,2015_2885984_AVALANCHE
502,2015_2889718_RUSTLER COMPLEX,,2015,,,RUSTLER COMPLEX,SAM,2886363.0,2889718.0,2015_2886363_SAM,2015_2886363_SAM
576,2015_2883365_UPPER SKAGIT COMPLEX,,2015,,,UPPER SKAGIT COMPLEX,NEVE CREEK,2886613.0,2883365.0,2015_2886613_NEVE CREEK,2015_2886613_NEVE CREEK
513,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,WART,2886651.0,2892247.0,2015_2886651_WART,2015_2886651_WART
373,2015_2900594_LOCHSA SOUTH COMPLEX,,2015,,,LOCHSA SOUTH COMPLEX,HORSE CAMP,2888464.0,2900594.0,2015_2888464_HORSE CAMP,2015_2888464_HORSE CAMP
401,2015_2884431_MORRELL COMPLEX,,2015,,,MORRELL COMPLEX,RICHMOND RIDGE 2,2888465.0,2884431.0,2015_2888465_RICHMOND RIDGE 2,2015_2888465_RICHMOND RIDGE 2
415,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,HIGGINS HUMP,2888467.0,2875162.0,2015_2888467_HIGGINS HUMP,2015_2888467_HIGGINS HUMP
450,2015_2888586_NORTHEAST KOOTENAI COMPLEX,,2015,,,NORTHEAST KOOTENAI COMPLEX,NORTHEAST KOOTENAI COMPLEX,2888586.0,2888586.0,2015_2888586_NORTHEAST KOOTENAI COMPLEX,2015_2888586_NORTHEAST KOOTENAI COMPLEX
383,2015_2884247_MIDDLE FORK COMPLEX,,2015,,,MIDDLE FORK COMPLEX,ALPINE,2889526.0,2884247.0,2015_2889526_ALPINE,2015_2889526_ALPINE
384,2015_2884247_MIDDLE FORK COMPLEX,,2015,,,MIDDLE FORK COMPLEX,HARBOR,2889530.0,2884247.0,2015_2889530_HARBOR,2015_2889530_HARBOR
281,2015_2933887_GOAT ROCK COMPLEX,,2015,,,GOAT ROCK COMPLEX,PINE RIDGE,2889569.0,2933887.0,2015_2889569_PINE RIDGE,2015_2889569_PINE RIDGE
172,2015_2902128_AVERY COMPLEX,,2015,,,AVERY COMPLEX,BREEZY,2889590.0,2902128.0,2015_2889590_BREEZY,2015_2889590_BREEZY
484,2015_2786253_ROUTE COMPLEX,,2015,,,ROUTE COMPLEX,HITCHCOCK,2889708.0,2786253.0,2015_2889708_HITCHCOCK,2015_2889708_HITCHCOCK
503,2015_2889718_RUSTLER COMPLEX,,2015,,,RUSTLER COMPLEX,RUSTLER COMPLEX,2889718.0,2889718.0,2015_2889718_RUSTLER COMPLEX,2015_2889718_RUSTLER COMPLEX
222,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,FLYING B,2889976.0,2920368.0,2015_2889976_FLYING B,2015_2889976_FLYING B
514,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,WASH,2890342.0,2892247.0,2015_2890342_WASH,2015_2890342_WASH
524,2015_2873983_ELK CITY COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,DEADWOOD MOUNTAIN,2890428.0,2892247.0,2015_2890428_DEADWOOD MOUNTAIN,2015_2890428_DEADWOOD MOUNTAIN
205,2015_2890578_CLARK FORK COMPLEX,,2015,,,CLARK FORK COMPLEX,CLARK FORK COMPLEX,2890578.0,2890578.0,2015_2890578_CLARK FORK COMPLEX,2015_2890578_CLARK FORK COMPLEX
316,2015_2891473_GRIZZLY COMPLEX,,2015,,,GRIZZLY COMPLEX,GRIZZLY COMPLEX,2891473.0,2891473.0,2015_2891473_GRIZZLY COMPLEX,2015_2891473_GRIZZLY COMPLEX
515,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,SELWAY/ELK CITY/RED RIVER COMPLEX,2892247.0,2892247.0,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX
249,2015_2770524_DL POTTER MOUNTAIN,,2015,,,DL POTTER MOUNTAIN,DL 252 POTTER COMPLEX,2894048.0,2770524.0,2015_2894048_DL 252 POTTER COMPLEX,2015_2894048_DL 252 POTTER COMPLEX
567,2015_2894074_THOMPSON DIVIDE COMPLEX,,2015,,,THOMPSON DIVIDE COMPLEX,THOMPSON DIVIDE COMPLEX,2894074.0,2894074.0,2015_2894074_THOMPSON DIVIDE COMPLEX,2015_2894074_THOMPSON DIVIDE COMPLEX
528,2015_2895432_RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,RATTLESNAKE,2895429.0,2892247.0,2015_2895429_RATTLESNAKE,2015_2895429_RATTLESNAKE
529,2015_2895432_RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,RED RIVER COMPLEX,2895432.0,2892247.0,2015_2895432_RED RIVER COMPLEX,2015_2895432_RED RIVER COMPLEX
577,2015_2883365_UPPER SKAGIT COMPLEX,,2015,,,UPPER SKAGIT COMPLEX,SNOWFIELD,2895629.0,2883365.0,2015_2895629_SNOWFIELD,2015_2895629_SNOWFIELD
516,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,DITCH,2896327.0,2892247.0,2015_2896327_DITCH,2015_2896327_DITCH
360,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,PLATINUM,2896413.0,2873774.0,2015_2896413_PLATINUM,2015_2896413_PLATINUM
588,2015_2933652_WILDERNESS COMPLEX,,2015,,,WILDERNESS COMPLEX,ROLL CREEK,2896947.0,2933652.0,2015_2896947_ROLL CREEK,2015_2896947_ROLL CREEK
504,2015_2889718_RUSTLER COMPLEX,,2015,,,RUSTLER COMPLEX,LITTLE BILLY 4,2896979.0,2889718.0,2015_2896979_LITTLE BILLY 4,2015_2896979_LITTLE BILLY 4
348,2015_2934748_KETTLE COMPLEX,,2015,,,KETTLE COMPLEX,RENNER,2897106.0,2934748.0,2015_2897106_RENNER,2015_2897106_RENNER
459,2015_2931055_OKANOGAN COMPLEX,,2015,,,OKANOGAN COMPLEX,TUNK BLOCK,2897183.0,2931055.0,2015_2897183_TUNK BLOCK,2015_2897183_TUNK BLOCK
336,2015_2898201_JAY PT/ BOULDER,,2015,,,JAY PT/ BOULDER COMPLEX,JAY PT/ BOULDER,2898201.0,2898201.0,2015_2898201_JAY PT/ BOULDER,2015_2898201_JAY PT/ BOULDER
539,2015_2906572_SNOW PEAK COMPLEX,,2015,,,SNOW PEAK COMPLEX,CARIBOU,2898898.0,2906572.0,2015_2898898_CARIBOU,2015_2898898_CARIBOU
540,2015_2906572_SNOW PEAK COMPLEX,,2015,,,SNOW PEAK COMPLEX,CHICADEE,2898899.0,2906572.0,2015_2898899_CHICADEE,2015_2898899_CHICADEE
517,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,WEST PEA CREEK,2898919.0,2892247.0,2015_2898919_WEST PEA CREEK,2015_2898919_WEST PEA CREEK
589,2015_2933652_WILDERNESS COMPLEX,,2015,,,WILDERNESS COMPLEX,ARMY MULE,2898972.0,2933652.0,2015_2898972_ARMY MULE,2015_2898972_ARMY MULE
181,2015_2919855_BENDIRE COMPLEX,,2015,,,BENDIRE COMPLEX,POLE GULCH,2899826.0,2919855.0,2015_2899826_POLE GULCH,2015_2899826_POLE GULCH
223,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,INCIDENT 664,2899856.0,2920368.0,2015_2899856_INCIDENT 664,2015_2899856_INCIDENT 664
224,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,LAWYER 2,2899857.0,2920368.0,2015_2899857_LAWYER 2,2015_2899857_LAWYER 2
225,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,ADAMS GRADE,2900038.0,2920368.0,2015_2900038_ADAMS GRADE,2015_2900038_ADAMS GRADE
226,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,PILOT KNOB,2900040.0,2920368.0,2015_2900040_PILOT KNOB,2015_2900040_PILOT KNOB
416,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,WALDE 1,2900043.0,2875162.0,2015_2900043_WALDE 1,2015_2900043_WALDE 1
184,2015_2900047_BROWN RANCH,,2015,,,BROWN RANCH,BROWN RANCH,2900047.0,2900047.0,2015_2900047_BROWN RANCH,2015_2900047_BROWN RANCH
451,2015_2888586_NORTHEAST KOOTENAI COMPLEX,,2015,,,NORTHEAST KOOTENAI COMPLEX,SUNDAY CREEK,2900160.0,2888586.0,2015_2900160_SUNDAY CREEK,2015_2900160_SUNDAY CREEK
417,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,FIRE CREEK,2900200.0,2875162.0,2015_2900200_FIRE CREEK,2015_2900200_FIRE CREEK
361,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,WOLF 1,2900252.0,2873774.0,2015_2900252_WOLF 1,2015_2900252_WOLF 1
206,2015_2890578_CLARK FORK COMPLEX,,2015,,,CLARK FORK COMPLEX,HAMILTON,2900258.0,2890578.0,2015_2900258_HAMILTON,2015_2900258_HAMILTON
227,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,MUNICIPAL,2900293.0,2920368.0,2015_2900293_MUNICIPAL,2015_2900293_MUNICIPAL
402,2015_2884431_MORRELL COMPLEX,,2015,,,MORRELL COMPLEX,NORTH RICHMOND,2900422.0,2884431.0,2015_2900422_NORTH RICHMOND,2015_2900422_NORTH RICHMOND
194,2015_2906716_CHELAN COMPLEX,,2015,,,CHELAN COMPLEX,BLACK CANYON,2900423.0,2906716.0,2015_2900423_BLACK CANYON,2015_2900423_BLACK CANYON
374,2015_2900594_LOCHSA SOUTH COMPLEX,,2015,,,LOCHSA SOUTH COMPLEX,FLEA RIDGE,2900592.0,2900594.0,2015_2900592_FLEA RIDGE,2015_2900592_FLEA RIDGE
418,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,CANTALOPE,2900593.0,2875162.0,2015_2900593_CANTALOPE,2015_2900593_CANTALOPE
375,2015_2900594_LOCHSA SOUTH COMPLEX,,2015,,,LOCHSA SOUTH COMPLEX,LOCHSA SOUTH COMPLEX,2900594.0,2900594.0,2015_2900594_LOCHSA SOUTH COMPLEX,2015_2900594_LOCHSA SOUTH COMPLEX
207,2015_2890578_CLARK FORK COMPLEX,,2015,,,CLARK FORK COMPLEX,WHITETAIL,2900728.0,2890578.0,2015_2900728_WHITETAIL,2015_2900728_WHITETAIL
349,2015_2934748_KETTLE COMPLEX,,2015,,,KETTLE COMPLEX,GRAVES MOUNTAIN,2901887.0,2934748.0,2015_2901887_GRAVES MOUNTAIN,2015_2901887_GRAVES MOUNTAIN
173,2015_2902128_AVERY COMPLEX,,2015,,,AVERY COMPLEX,AVERY COMPLEX,2902128.0,2902128.0,2015_2902128_AVERY COMPLEX,2015_2902128_AVERY COMPLEX
174,2015_2902128_AVERY COMPLEX,,2015,,,AVERY COMPLEX,PRETTY,2903167.0,2902128.0,2015_2903167_PRETTY,2015_2903167_PRETTY
179,2015_2903244_BATH COMPLEX,,2015,,,BATH COMPLEX,BATH COMPLEX,2903244.0,2903244.0,2015_2903244_BATH COMPLEX,2015_2903244_BATH COMPLEX
419,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,ELDORADO 2,2903448.0,2875162.0,2015_2903448_ELDORADO 2,2015_2903448_ELDORADO 2
420,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,WALDE 2,2903451.0,2875162.0,2015_2903451_WALDE 2,2015_2903451_WALDE 2
421,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,JUNGLE PT.,2903454.0,2875162.0,2015_2903454_JUNGLE PT.,2015_2903454_JUNGLE PT.
362,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,WOLF 2,2903646.0,2873774.0,2015_2903646_WOLF 2,2015_2903646_WOLF 2
363,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,WOLF 3,2903647.0,2873774.0,2015_2903647_WOLF 3,2015_2903647_WOLF 3
299,2015_2878511_GRIZZLY BEAR COMPLEX,,2015,,,GRIZZLY BEAR COMPLEX,TWIN BUTTE TRAIL,2903973.0,2878511.0,2015_2903973_TWIN BUTTE TRAIL,2015_2903973_TWIN BUTTE TRAIL
350,2015_2934748_KETTLE COMPLEX,,2015,,,KETTLE COMPLEX,ROY,2903975.0,2934748.0,2015_2903975_ROY,2015_2903975_ROY
208,2015_2890578_CLARK FORK COMPLEX,,2015,,,CLARK FORK COMPLEX,STAR GULCH,2904050.0,2890578.0,2015_2904050_STAR GULCH,2015_2904050_STAR GULCH
422,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,DOLLAR,2904644.0,2875162.0,2015_2904644_DOLLAR,2015_2904644_DOLLAR
364,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,MINNESAKA,2904648.0,2873774.0,2015_2904648_MINNESAKA,2015_2904648_MINNESAKA
365,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,SNOW CREEK,2904657.0,2873774.0,2015_2904657_SNOW CREEK,2015_2904657_SNOW CREEK
228,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,PETE FORKS,2904667.0,2920368.0,2015_2904667_PETE FORKS,2015_2904667_PETE FORKS
568,2015_2894074_THOMPSON DIVIDE COMPLEX,,2015,,,THOMPSON DIVIDE COMPLEX,GRANITE,2905463.0,2894074.0,2015_2905463_GRANITE,2015_2905463_GRANITE
518,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,FOG SADDLE,2905506.0,2892247.0,2015_2905506_FOG SADDLE,2015_2905506_FOG SADDLE
541,2015_2906572_SNOW PEAK COMPLEX,,2015,,,SNOW PEAK COMPLEX,SNOW PEAK COMPLEX,2906572.0,2906572.0,2015_2906572_SNOW PEAK COMPLEX,2015_2906572_SNOW PEAK COMPLEX
195,2015_2906716_CHELAN COMPLEX,,2015,,,CHELAN COMPLEX,CHELAN COMPLEX,2906716.0,2906716.0,2015_2906716_CHELAN COMPLEX,2015_2906716_CHELAN COMPLEX
229,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,FOOTROT,2908051.0,2920368.0,2015_2908051_FOOTROT,2015_2908051_FOOTROT
239,2015_2912516_COLVILLE COMPLEX,,2015,,,COLVILLE COMPLEX,GOLD HILL,2908866.0,2912516.0,2015_2908866_GOLD HILL,2015_2908866_GOLD HILL
530,2015_2895432_RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,LONE PARK,2909531.0,2892247.0,2015_2909531_LONE PARK,2015_2909531_LONE PARK
344,2015_2926612_KANIKSU COMPLEX,,2015,,,KANIKSU COMPLEX,SLATE CREEK,2909542.0,2926612.0,2015_2909542_SLATE CREEK,2015_2909542_SLATE CREEK
423,2015_2875162_MOTORWAY COMPLEX,,2015,,,MOTORWAY COMPLEX,WALDE 3,2909873.0,2875162.0,2015_2909873_WALDE 3,2015_2909873_WALDE 3
317,2015_2891473_GRIZZLY COMPLEX,,2015,,,GRIZZLY COMPLEX,JACK WAITE,2912224.0,2891473.0,2015_2912224_JACK WAITE,2015_2912224_JACK WAITE
240,2015_2912516_COLVILLE COMPLEX,,2015,,,COLVILLE COMPLEX,COLVILLE COMPLEX,2912516.0,2912516.0,2015_2912516_COLVILLE COMPLEX,2015_2912516_COLVILLE COMPLEX
300,2015_2878511_GRIZZLY BEAR COMPLEX,,2015,,,GRIZZLY BEAR COMPLEX,GREEN RIDGE,2914039.0,2878511.0,2015_2914039_GREEN RIDGE,2015_2914039_GREEN RIDGE
519,2015_2892247_SELWAY/ELK CITY/RED RIVER COMPLEX,,2015,,,SELWAY/ELK CITY/RED RIVER COMPLEX,FALLS POINT,2914175.0,2892247.0,2015_2914175_FALLS POINT,2015_2914175_FALLS POINT
385,2015_2884247_MIDDLE FORK COMPLEX,,2015,,,MIDDLE FORK COMPLEX,ROARING,2914187.0,2884247.0,2015_2914187_ROARING,2015_2914187_ROARING
230,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,WOODRAT,2919055.0,2920368.0,2015_2919055_WOODRAT,2015_2919055_WOODRAT
452,2015_2888586_NORTHEAST KOOTENAI COMPLEX,,2015,,,NORTHEAST KOOTENAI COMPLEX,MARSTON,2919082.0,2888586.0,2015_2919082_MARSTON,2015_2919082_MARSTON
282,2015_2933887_GOAT ROCK COMPLEX,,2015,,,GOAT ROCK COMPLEX,DAD,2919433.0,2933887.0,2015_2919433_DAD,2015_2919433_DAD
485,2015_2786253_ROUTE COMPLEX,,2015,,,ROUTE COMPLEX,BLAKE,2919458.0,2786253.0,2015_2919458_BLAKE,2015_2919458_BLAKE
486,2015_2786253_ROUTE COMPLEX,,2015,,,ROUTE COMPLEX,TIERNEY,2919459.0,2786253.0,2015_2919459_TIERNEY,2015_2919459_TIERNEY
505,2015_2889718_RUSTLER COMPLEX,,2015,,,RUSTLER COMPLEX,DRAGON FLY,2919468.0,2889718.0,2015_2919468_DRAGON FLY,2015_2919468_DRAGON FLY
182,2015_2919855_BENDIRE COMPLEX,,2015,,,BENDIRE COMPLEX,BENDIRE COMPLEX,2919855.0,2919855.0,2015_2919855_BENDIRE COMPLEX,2015_2919855_BENDIRE COMPLEX
318,2015_2891473_GRIZZLY COMPLEX,,2015,,,GRIZZLY COMPLEX,SOUTH SUBURBAN,2920258.0,2891473.0,2015_2920258_SOUTH SUBURBAN,2015_2920258_SOUTH SUBURBAN
231,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,LITTLE BISCUIT,2920261.0,2920368.0,2015_2920261_LITTLE BISCUIT,2015_2920261_LITTLE BISCUIT
366,2015_2873774_LARKIN COMPLEX,,2015,,,LARKIN COMPLEX,HEATHER,2920358.0,2873774.0,2015_2920358_HEATHER,2015_2920358_HEATHER
232,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,,2015,,,CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX,CLEARWATER/MUNICIPAL COMPLEX,2920368.0,2920368.0,2015_2920368_CLEARWATER/MUNICIPAL COMPLEX,2015_2920368_CLEARWATER/MUNICIPAL/MOTORWAY NORTH COMPLEX
