FIRE_YEAR,ICS_COMPLEX_NAME,FIRE_NAME,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,CPLX_INCIDENT_ID,MEMBER_INCIDENT_ID,FOD_JOIN_INCIDENT_ID,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,SUGAR,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,JACKASS,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,SHASTA-TRINITY RANGER UNIT COMPLEX,MAMMOTH,,,1999_CA-RCC-6711_SHASTA-TRINITY RANGER UNIT,1999_CA-RCC-6711_SHASTA-TRINITY RANGER UNIT,1999_CA-RCC-6711_SHASTA-TRINITY RANGER UNIT,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,BOHEMOTASH,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,HIGH,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,DOG,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,REPTILE,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,BIG BAR COMPLEX,MEGRAM,,,1999_CA-SHF-6588_BIG BAR COMPLEX,1999_CA-SHF-6588_BIG BAR COMPLEX,1999_CA-SHF-6588_BIG BAR COMPLEX,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,LUNCH,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,HIGH COMPLEX,SHEEP #1,,,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,1999_CA-SHF-6554_HIGH COMPLEX,,,,,,,,,,,,,,,,
1999,LONE ELEPHANT COMPLEX,LITTLE PINNACLE,,,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,,,,,,,,,,,,,,,,
1999,LONE ELEPHANT COMPLEX,ELEPHANT,,,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,,,,,,,,,,,,,,,,
1999,LONE ELEPHANT COMPLEX,LONE MOUNTAIN,,,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,1999_VA-VAF-86177_LONE ELEPHANT COMPLEX,,,,,,,,,,,,,,,,
1999,SCOTT CREEK COMPLEX,GREYLOCK,,,1999_ID-STF-030_SCOTT CREEK,1999_ID-STF-030_SCOTT CREEK,1999_ID-STF-030_SCOTT CREEK,,,,,,,,,,,,,,,,
1999,SCOTT CREEK COMPLEX,SCOTT CREEK,,,1999_ID-STF-030_SCOTT CREEK,1999_ID-STF-030_SCOTT CREEK,1999_ID-STF-030_SCOTT CREEK,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,TORRE,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,TASSAJARA,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,LONE PINE,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,KIRK,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,HARE,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,GOOD DEAL,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,FREED,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,FIVE,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,ELEPHANT,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,DEVIL,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,KIRK COMPLEX,BIG PINE,,,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,1999_CA-LPF-865_KIRK COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,BLACK BEAR,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,STANTON COMPLEX,D.BOONE HUT,,,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,,,,,,,,,,,,,,,,
1999,STANTON COMPLEX,AUXIER RIDGE,,,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,,,,,,,,,,,,,,,,
1999,STANTON COMPLEX,NADA,,,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,,,,,,,,,,,,,,,,
1999,STANTON COMPLEX,COPPERAS CREEK,,,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,GROUNDHOG,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,STANTON COMPLEX,WHITTLETON BRANCH,,,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,1999_KY-DBF-00082_STANTON COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,MUDLICK,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,SUNSHINE,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,CRANE BRANCH,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,ROOTS AGAIN,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,BIG BISCUIT,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,TOWN BRANCH #2 COMPLEX,TOWN BRANCH II,,,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,1999_KY-DBF-00057_TOWN BRANCH #2 COMPLEX,,,,,,,,,,,,,,,,
1999,GRASSLAND COMPLEX,766,,,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,,,,,,,,,,,,,,,,
1999,GRASSLAND COMPLEX,864,,,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,,,,,,,,,,,,,,,,
1999,GRASSLAND COMPLEX,761,,,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,,,,,,,,,,,,,,,,
1999,GRASSLAND COMPLEX,764,,,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,1999_OR-OCF-764_GRASSLAND COMPLEX,,,,,,,,,,,,,,,,
1999,TEHAMA GLENN RANGER UNIT COMPLEX,DEHAVEN,,,1999_CA-RCC-_TEHAMA GLENN RANGER UNIT,1999_CA-RCC-_TEHAMA GLENN RANGER UNIT,1999_CA-RCC-_TEHAMA GLENN RANGER UNIT,,,,,,,,,,,,,,,,
1999,AVEY COMPLEX,HORSE COVE,,,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,,,,,,,,,,,,,,,,
1999,AVEY COMPLEX,MAPLE SPRINGS,,,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,,,,,,,,,,,,,,,,
1999,AVEY COMPLEX,AVEY CREEK,,,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,,,,,,,,,,,,,,,,
1999,AVEY COMPLEX,PINE RIDGE,,,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,,,,,,,,,,,,,,,,
1999,AVEY COMPLEX,GOLDIE DEADEN,,,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,CLAREMONT,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,BIG 2,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,ROCK,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,CHROME,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,BUCKS,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,BALD,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,SPANISH,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,HORTON_2,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,PIEGEON,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,MHRD COMPLEX,LOOKOUT,,,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,1999_CA-PNF-1091_MHRD COMPLEX,,,,,,,,,,,,,,,,
1999,FRRD COMPLEX,DEVILS GAP,,,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,,,,,,,,,,,,,,,,
1999,FRRD COMPLEX,STAG,,,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,,,,,,,,,,,,,,,,
1999,FRRD COMPLEX,HIBBARD,,,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,,,,,,,,,,,,,,,,
1999,FRRD COMPLEX,BEAN,,,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,1999_CA-PNF-1090_FRRD COMPLEX,,,,,,,,,,,,,,,,
1999,RICHBAR COMPLEX,RICHBAR COMPLEX,,,1999_CA-SQF-003206_RICH BAR COMPLEX,1999_CA-SQF-003206_RICH BAR COMPLEX,1999_CA-SQF-003206_RICH BAR COMPLEX,,,,,,,,,,,,,,,,
1999,BLOOD COMPLEX,PIGEON ROOST,,,1999_GA-GIC-99053_BLOOD COMPLEX,1999_GA-GIC-99053_BLOOD COMPLEX,1999_GA-GIC-99053_BLOOD COMPLEX,,,,,,,,,,,,,,,,
1999,BLOOD COMPLEX,TURKEY STAMP,,,1999_GA-GIC-99053_BLOOD COMPLEX,1999_GA-GIC-99053_BLOOD COMPLEX,1999_GA-GIC-99053_BLOOD COMPLEX,,,,,,,,,,,,,,,,
1999,BLOOD COMPLEX,BIG CREEK,,,1999_GA-GIC-99053_BLOOD COMPLEX,1999_GA-GIC-99053_BLOOD COMPLEX,1999_GA-GIC-99053_BLOOD COMPLEX,,,,,,,,,,,,,,,,
1999,SOLDIER COMPLEX,IRIS LAKE,,,1999_ID-SCF-46009_SOLDIER,1999_ID-SCF-46009_SOLDIER,1999_ID-SCF-46009_SOLDIER,,,,,,,,,,,,,,,,
1999,SOLDIER COMPLEX,SOLDIER CREEK,,,1999_ID-SCF-46009_SOLDIER,1999_ID-SCF-46009_SOLDIER,1999_ID-SCF-46009_SOLDIER,,,,,,,,,,,,,,,,
1999,SOLDIER COMPLEX,BLUE BUNCH,,,1999_ID-SCF-46009_SOLDIER,1999_ID-SCF-46009_SOLDIER,1999_ID-SCF-46009_SOLDIER,,,,,,,,,,,,,,,,
1999,LAKE WENATCHEE COMPLEX,LAKE COMPLEX #13,,,1999_WA-WEF-406_LAKE WENATCHEE COMPLEX,1999_WA-WEF-406_LAKE WENATCHEE COMPLEX,1999_WA-WEF-406_LAKE WENATCHEE COMPLEX,,,,,,,,,,,,,,,,
