,id,bupr_sum,bupr_sum,bupr_sum1km,bupr_sum4km
272,2455.0,0.0,0.0,4.0,5.0
273,2460.0,6.0,6.0,8.0,298.0
274,2462.0,0.0,0.0,0.0,0.0
275,2464.0,0.0,0.0,0.0,0.0
276,2468.0,1.0,1.0,4.0,13.0
277,2469.0,0.0,0.0,0.0,0.0
278,2478.0,0.0,0.0,0.0,0.0
279,2480.0,0.0,0.0,0.0,0.0
280,2484.0,0.0,0.0,0.0,0.0
281,2485.0,2.0,2.0,2.0,6.0
282,2486.0,0.0,0.0,30.0,37.0
283,2491.0,0.0,0.0,0.0,0.0
284,2493.0,0.0,0.0,0.0,0.0
285,2494.0,0.0,0.0,0.0,0.0
286,2496.0,0.0,0.0,0.0,0.0
287,2497.0,0.0,0.0,0.0,0.0
288,2499.0,0.0,0.0,0.0,0.0
289,2501.0,0.0,0.0,0.0,0.0
290,2502.0,0.0,0.0,0.0,0.0
291,2504.0,0.0,0.0,0.0,2.0
292,2505.0,0.0,0.0,0.0,0.0
293,2506.0,0.0,0.0,0.0,0.0
294,2509.0,21.0,21.0,36.0,73.0
295,2510.0,0.0,0.0,0.0,0.0
296,2511.0,0.0,0.0,0.0,0.0
297,2512.0,0.0,0.0,0.0,4.0
298,2513.0,0.0,0.0,0.0,0.0
299,2516.0,0.0,0.0,19.0,21.0
300,2519.0,0.0,0.0,0.0,0.0
301,2520.0,0.0,0.0,0.0,0.0
302,2522.0,28.0,28.0,55.0,424.0
303,2523.0,0.0,0.0,0.0,0.0
304,2524.0,0.0,0.0,13.0,593.0
305,2525.0,0.0,0.0,0.0,3.0
306,2528.0,0.0,0.0,0.0,0.0
307,2530.0,0.0,0.0,8.0,58.0
308,2532.0,0.0,0.0,0.0,0.0
309,2534.0,0.0,0.0,0.0,0.0
310,2537.0,0.0,0.0,0.0,0.0
311,2538.0,0.0,0.0,0.0,114.0
312,2540.0,0.0,0.0,0.0,0.0
313,2542.0,0.0,0.0,0.0,186.0
314,2546.0,0.0,0.0,0.0,0.0
315,2548.0,0.0,0.0,1.0,60.0
316,2551.0,0.0,0.0,0.0,0.0
317,2559.0,0.0,0.0,0.0,0.0
318,2566.0,0.0,0.0,0.0,0.0
319,2571.0,0.0,0.0,409.0,1707.0
320,2574.0,0.0,0.0,5.0,97.0
321,2576.0,0.0,0.0,0.0,0.0
322,2581.0,0.0,0.0,0.0,0.0
323,2588.0,1.0,1.0,93.0,2081.0
324,2590.0,49.0,49.0,104.0,1232.0
325,2597.0,0.0,0.0,0.0,0.0
326,2598.0,6.0,6.0,66.0,80.0
327,2604.0,0.0,0.0,0.0,0.0
328,2607.0,0.0,0.0,0.0,4.0
329,2608.0,9.0,9.0,88.0,1251.0
330,2609.0,0.0,0.0,2.0,62.0
331,2612.0,7.0,7.0,142.0,748.0
332,2618.0,0.0,0.0,7.0,349.0
333,2624.0,0.0,0.0,26.0,247.0
334,2626.0,0.0,0.0,0.0,0.0
335,2628.0,0.0,0.0,0.0,0.0
336,2637.0,0.0,0.0,0.0,0.0
337,2663.0,0.0,0.0,0.0,1.0
338,2668.0,0.0,0.0,0.0,3.0
339,2675.0,0.0,0.0,0.0,0.0
340,2677.0,0.0,0.0,0.0,0.0
341,2684.0,0.0,0.0,0.0,3.0
342,2704.0,0.0,0.0,0.0,0.0
343,2712.0,0.0,0.0,0.0,64.0
344,2728.0,1.0,1.0,1.0,1.0
345,2737.0,340.0,340.0,1999.0,4099.0
346,2739.0,0.0,0.0,0.0,0.0
347,2744.0,18.0,18.0,140.0,216.0
348,2752.0,0.0,0.0,0.0,0.0
349,2768.0,0.0,0.0,0.0,0.0
350,2780.0,0.0,0.0,2.0,54.0
351,2789.0,88.0,88.0,271.0,502.0
352,2804.0,0.0,0.0,0.0,0.0
353,2806.0,0.0,0.0,0.0,0.0
